('DS 5LS 2015款 1.6T 舒适版THP160', 'https://image.guazistatic.com/gz01180603/17/53/f3e49c1bee042afeaa67db7731e7ccc9.jpg', '2015年', '9.00万', '17.50万')
('DS 4S 2016款 1.6T 自动睿动版THP160', 'https://image.guazistatic.com/gz01180620/14/58/6dd789a19bdb3784b8a0c84e6dc6386d.jpg', '2.6万公里', '11.20万', '18.70万')
('DS 5 2012款 1.6T 尊享版(进口)', 'https://image.guazistatic.com/gz01180529/11/41/1eeac6725ac5fa70bebf3f8df63934c8.jpg', '2017年', '10.60万', '37.90万')
('DS 6 2016款 1.6T 豪华版THP160', 'https://image.guazistatic.com/gz01180610/14/54/f6ee4d3e928f7023f5ccf253823c2125.jpg', '3.1万公里', '16.00万', '25.00万')
('DS 5 2013款 1.6T 豪华版THP200', 'https://image.guazistatic.com/gz01180418/18/17/4e4a425d8cbd222e2c4d61973a727864.jpg', '2014年', '12.84万', '28.30万')
('DS 5LS 2014款 1.6T 雅致版THP160', 'https://image1.guazistatic.com/qn18030602155426167ab4a95dad2c1158b30c76aab9c0.jpg', '7.7万公里', '11.30万', '20.10万')
('DS 5 2013款 1.6T 豪华版THP200', 'https://image1.guazistatic.com/qn180712154730bdcdc2e8e21d4ff188436e9cb3f3bf2f.jpg', '2017年', '11.05万', '28.30万')
('DS 5LS 2014款 1.6T 雅致版THP160', 'https://image1.guazistatic.com/qn180326130342a27b8f0b652fa959c202badbd7244f76.jpg', '1.8万公里', '10.00万', '20.10万')
('DS 6 2016款 1.6T 雅致版THP160', 'https://image.guazistatic.com/gz01180509/11/45/d5d8aeeb9adda77c52df77747eae7bbf.jpg', '2014年', '17.00万', '22.50万')
('DS 6 2014款 1.6T 豪华版THP160', 'https://image1.guazistatic.com/qn180422140338b5d3471840162c4cd79d3253b94fdcc2.jpg', '7.0万公里', '13.38万', '25.00万')
('DS 6 2016款 1.6T 雅致版THP160', 'https://image1.guazistatic.com/qn1807121113331921a59ad4258cee321c20675f705a6a.jpg', '2014年', '15.00万', '22.50万')
('DS 5LS 2014款 1.6T 尊享版THP200', 'https://image1.guazistatic.com/qn180325163956dafe79d9fd6b4a702400676721df2433.jpg', '2.0万公里', '14.50万', '26.80万')
('DS 5LS 2014款 1.6T 雅致版THP160', 'https://image.guazistatic.com/gz01180425/12/12/e04243cea38c3a74d7724d4b16d9f1e4.jpg', '2014年', '9.57万', '20.10万')
('DS 6 2016款 1.6T 豪华版THP160', 'https://image.guazistatic.com/gz01180612/12/37/f0b335fbdcc23bade77dd11f56c89510.jpg', '7.1万公里', '12.36万', '25.00万')
('DS 6 2014款 1.6T 雅致版THP160', 'https://image1.guazistatic.com/qn1804212358220dd68b638ea211e3c647aed3c548c06e.jpg', '2015年', '11.30万', '22.50万')
