('东风御风 2016款 2.5T领运版御利宝短轴中顶ZD25 国V', 'https://image.guazistatic.com/gz01180429/14/54/a725c9ea155c184c0a3f34b88ff9ef30.jpg', '2017年', '10.10万', '15.40万')
('东风 帅客 2016款 1.5L 手动标准型', 'https://image1.guazistatic.com/qn1806070638264868e50f90cd8e1191e320faa4583419.jpg', '0.7万公里', '4.20万', '7.50万')
('东风 御轩 2009款 2.5L 自动旗舰版', 'https://image1.guazistatic.com/qn1807120146263855e8e5972b1437233647dc0f41b442.jpg', '2016年', '6.00万', '20.90万')
('东风帅客 2010款 1.6L 手动舒适型', 'https://image1.guazistatic.com/qn1805181708504010ca5ff74d0ff4e80beb7ea01fd24d.jpg', '4.3万公里', '2.20万', '8.70万')
('东风 御轩 2009款 2.0L 手动豪华型', 'https://image.guazistatic.com/gz01180703/14/09/024914558e15cf7da497d37db1d8f85e.jpg', '2011年', '2.88万', '15.50万')
('东风 帅客 2011款 1.6L 手动舒适型7座', 'https://image1.guazistatic.com/qn180603183144aa2ee21086bc49831ad873d11882c26c.jpg', '13.4万公里', '4.50万', '9.00万')
('东风 帅客 2016款 1.5L 手动标准型', 'https://image.guazistatic.com/gz01180608/16/07/f74e2cca9840089beb659f7c80c1c268.jpg', '2010年', '4.50万', '7.50万')
('东风 御风 2016款 2.5T领运版厢货短轴中顶ZD25 国V', 'https://image1.guazistatic.com/qn180706105007f302e769e142419b1926743428a543cc.jpg', '15.7万公里', '10.00万', '14.80万')
('东风 帅客 2010款 1.6L 手动舒适型', 'https://image.guazistatic.com/gz01180617/20/54/ef48738cbd9f6280c1a37ed45eb3e7e1.jpg', '2009年', '2.00万', '8.70万')
('东风帅客 2012款 2.0L 自动豪华型7座', 'https://image1.guazistatic.com/qn171226154201cbc6764e9ad4f0b559af536848f380c3.jpg', '6.7万公里', '6.50万', '11.70万')
('东风帅客 2012款 2.0L 自动豪华型7座', 'https://image1.guazistatic.com/qn1712181714053e521b2ed69546b9dd10bfad9b0a29ee.jpg', '2014年', '5.00万', '11.70万')
('东风 帅客 2016款 改款 1.6L 手动舒适型', 'https://image1.guazistatic.com/qn1807071152356ade8a16a6bd5f637a0044196dceab16.jpg', '4.6万公里', '6.00万', '9.40万')
('东风 帅客 2011款 1.6L 手动舒适型7座', 'https://image1.guazistatic.com/qn18062416021238ee1edf7ec66b1a34ef6a4f67c28f11.jpg', '2016年', '3.90万', '9.00万')
('东风 帅客 2013款 改款 1.5L 手动舒适型7座 国IV', 'https://image.guazistatic.com/gz01180701/17/00/128aded85d2ed4a3b211565c6e38a6d0.jpg', '5.7万公里', '3.80万', '7.80万')
('东风 帅客 2016款 1.5L 手动舒适型', 'https://image.guazistatic.com/gz01180607/11/55/4fb3c7e45dba804b38cb6b98aae96fcb.jpg', '2017年', '4.50万', '7.90万')
('东风 帅客 2010款 1.6L 手动实用型', 'https://image.guazistatic.com/gz01180604/15/38/65f952d59d5c0f443eaf6d2721ca91d7.jpg', '2.6万公里', '2.50万', '8.10万')
('东风 帅客 2014款 1.6L 手动舒适型7座 国V', 'https://image.guazistatic.com/gz01180703/16/56/ae12193e71d35cf99332dab003645f7b.jpg', '2011年', '4.20万', '9.40万')
('东风 帅客 2013款 1.5L 手动舒适型7座 国V', 'https://image.guazistatic.com/gz01180624/19/29/f1ea44e90302b45a038e9931af19dbc4.jpg', '10.9万公里', '3.95万', '7.80万')
('东风 帅客 2014款 1.6L 手动舒适型7座 国V', 'https://image1.guazistatic.com/qn1806202129327134ed2cc16b1f61335f56699001bf26.jpg', '2014年', '4.38万', '9.40万')
('东风帅客 2011款 1.6L 手动豪华型7座', 'https://image1.guazistatic.com/qn18031817180409cd922af6f141e293c9d9b6b9137d98.jpg', '2.6万公里', '3.53万', '9.50万')
('东风 帅客 2011款 1.6L 手动舒适型7座', 'https://image.guazistatic.com/gz01180607/10/17/cabe32e65d756821e176b27dc0ba34bf.jpg', '2013年', '3.65万', '9.00万')
('东风 帅客 2011款 1.6L 手动舒适型7座', 'https://image1.guazistatic.com/qn180620204803c6af8bea35c359854973899aea9521f2.jpg', '5.8万公里', '2.66万', '9.00万')
('东风 帅客 2013款 改款 1.5L 手动舒适型7座 国IV', 'https://image.guazistatic.com/gz01180625/14/44/77705025ad60f488d22237b48c2f48b7.jpg', '2017年', '2.70万', '7.80万')
('东风 帅客 2011款 1.6L 手动舒适型7座', 'https://image.guazistatic.com/gz01180703/12/37/fc7b7332b7217aceaf124fc38f52922a.jpg', '4.3万公里', '3.50万', '9.00万')
('东风 帅客 2011款 1.5L 手动标准型7座 国IV', 'https://image.guazistatic.com/gz01180628/16/13/bf286929b90e9c73f5159a55f36a7e4f.jpg', '2014年', '2.60万', '7.30万')
('东风 帅客 2011款 1.5L 手动标准型7座 国IV', 'https://image.guazistatic.com/gz01180523/12/14/af9af08f74eb9837a0cfe0f11f510a15.jpg', '6.5万公里', '2.60万', '7.30万')
('东风 帅客 2013款 改款 1.5L 手动舒适型7座 国IV', 'https://image.guazistatic.com/gz01180627/14/35/71084cf1ae02a1fd3e886b168ceb29f8.jpg', '2015年', '3.36万', '7.80万')
