('凯迪拉克CTS 2012款 3.0L 精英运动版(进口)', 'https://image.guazistatic.com/gz01180416/13/59/bd6452da5ab2bae8e18c08eb6fd4199b.jpg', '2012年', '16.00万', '48.60万')
('凯迪拉克ATS-L 2017款 28T 技术型', 'https://image.guazistatic.com/gz01180523/11/25/8ffe3d07cbe7dbc9cd294751d2001eff.jpg', '19.5万公里', '21.80万', '32.40万')
('凯迪拉克CT6 2017款 28T 时尚型', 'https://image1.guazistatic.com/qn180530021942982cca679ceecb66ab1e7f58d48e8272.jpg', '2018年', '31.00万', '47.70万')
('凯迪拉克XT5 2018款 28E 四驱领先型', 'https://image1.guazistatic.com/qn18032920414911d28d1fd5418a047f81e5d26c904248.jpg', '0.3万公里', '40.00万', '52.10万')
('凯迪拉克XTS 2013款 28T 豪华型', 'https://image.guazistatic.com/gz01180630/17/04/8d9a144cfaca93039808a86cfc835efd.jpg', '2017年', '15.00万', '45.60万')
('凯迪拉克XT5 2016款 25T 技术型', 'https://image1.guazistatic.com/qn180627010314a54f663ec108207fbf26cb8e811d433d.jpg', '0.6万公里', '27.50万', '39.10万')
('凯迪拉克SRX 2015款 3.0L 精英型(进口)', 'https://image1.guazistatic.com/qn180708092143cb1ad70a653c428b6eb80854949e164d.jpg', '2017年', '24.00万', '47.70万')
('凯迪拉克ATS-L 2014款 25T 舒适型', 'https://image1.guazistatic.com/qn180616041759f2e6772f00a957efe129131e7fcfb029.jpg', '0.2万公里', '17.90万', '31.30万')
('凯迪拉克ATS-L 2017款 28T 技术型', 'https://image1.guazistatic.com/qn180710130414f47b9d029f3b652164fac073b9f95b5e.jpg', '2013年', '19.50万', '32.40万')
('凯迪拉克SRX 2012款 3.0L 领先型(进口)', 'https://image.guazistatic.com/gz01180427/17/29/7cde9ec2e2465dcc57ee4f2b10bfdbed.jpg', '2012年', '18.50万', '57.50万')
('凯迪拉克XTS 2014款 28T 精英型', 'https://image.guazistatic.com/gz01180527/18/24/255dc1d1e9f73f20c6835b4261253138.jpg', '9.5万公里', '18.80万', '41.20万')
('凯迪拉克XTS 2014款 28T 豪华型', 'https://image.guazistatic.com/gz01180527/10/41/abfa398a1ebada217343e5b4eb172248.jpg', '7.5万公里', '21.00万', '45.60万')
('凯迪拉克SRX 2014款 3.0L 精英型(进口)', 'https://image1.guazistatic.com/qn180710081720790825ea58b3c9b00f9ada3d41d11040.jpg', '2016年', '19.50万', '51.00万')
