('北汽幻速S6 2017款 1.5T CVT乐享型', 'https://image1.guazistatic.com/qn180525065103a47a81b867da565749d5ce6c37d5efe9.jpg', '2017年', '7.58万', '11.60万')
('北汽幻速S3 2015款 1.5L 豪华型 国V', 'https://image.guazistatic.com/gz01180617/18/43/85ff4352ceb648979abea4318b733f86.jpg', '3.6万公里', '4.00万', '7.60万')
('北汽幻速H3 2015款 1.5L 手动舒适型', 'https://image.guazistatic.com/gz01180409/17/18/68032b7b5359ea1dba61aa9f958c2f2f.jpg', '2016年', '5.00万', '6.50万')
('北汽幻速S3 2016款 1.5L 手动舒适型 国V', 'https://image.guazistatic.com/gz01180629/11/08/762be6c48bec7b19fa562793476e883a.jpg', '1.5万公里', '3.80万', '6.50万')
('北汽幻速S3 2015款 1.5L 豪华型 国V', 'https://image.guazistatic.com/gz01180605/17/06/9bdee92e3b3d6bc7e0eb8d75be50ad72.jpg', '2016年', '3.50万', '7.60万')
('北汽幻速H3F 2016款 H3F 1.5L 手动尊贵型', 'https://image1.guazistatic.com/qn1807071052559af7c4f96c1e2eeb1048349113f70c76.jpg', '0.3万公里', '4.60万', '7.40万')
('北汽幻速S3 2015款 1.5L 豪华型 国V', 'https://image1.guazistatic.com/qn180508033900ecbfcc87c4b91553b5573fff6c8eae3e.jpg', '2015年', '2.78万', '7.60万')
('北汽幻速S6 2017款 1.5T CVT畅享型', 'https://image1.guazistatic.com/qn1805261120549465585987497f8cd81b156e84b7fb8b.jpg', '2.3万公里', '7.00万', '10.70万')
('北汽幻速S5 2017款 1.3T CVT尊贵型', 'https://image1.guazistatic.com/qn18070909475958fcb09439d39ec22914023d1c95f8f3.jpg', '2015年', '6.40万', '9.30万')
('北汽幻速H3F  1.5手动豪华版', 'https://image1.guazistatic.com/qn170214190327d66b95a5c7c3a1ca1f56d70e090f046f.jpg', '8.2万公里', '4.50万', '7.00万')
('北汽幻速H3F 2016款 H3F 1.5L 手动豪华型', 'https://image1.guazistatic.com/qn180708220102c4b98e14efe4a9e3b5200208fb5d212a.jpg', '2017年', '4.60万', '7.90万')
('北汽幻速S3 2014款 1.8L 尊贵型 国IV', 'https://image.guazistatic.com/gz01180526/10/33/f1155e4cfd95aeb85dd071d272bd4f31.jpg', '1.0万公里', '3.70万', '5.10万')
('北汽幻速H2 2016款 H2E 1.5L 精英型BJ415B', 'https://image1.guazistatic.com/qn171203181251542ac29bdf3d662772e9095135b2da6a.jpg', '2015年', '3.10万', '7.40万')
('北汽幻速H2 2016款 H2E 1.5L 经典型BJ415A', 'https://image1.guazistatic.com/qn180514122758d165f72adac9a44fad910339255b3bf1.jpg', '2.4万公里', '5.00万', '10.70万')
('北汽幻速S2 2015款 1.5L 手动豪华型 国V', 'https://image.guazistatic.com/gz01180611/15/37/ec6189a80252b3130d19bf9daf975f69.jpg', '2017年', '2.77万', '7.30万')
('北汽幻速S6 2017款 1.5T CVT畅享型', 'https://image1.guazistatic.com/qn18032517150051d1f822830975f9ee36f12c5c3e4e32.jpg', '0.8万公里', '7.55万', '7.10万')
('北汽幻速H2 2015款 1.5L AMT尊贵型BJ415C', 'https://image.guazistatic.com/gz01180610/14/41/667f9169211c5c6344935bb3f6ef9ba9.jpg', '2017年', '3.40万', '7.50万')
('北汽幻速S3 2014款 1.5L 舒适型 国IV', 'https://image.guazistatic.com/gz01180420/14/03/9598da0942d9b25da1d73c815e2c1a09.jpg', '2.5万公里', '3.30万', '7.30万')
('北汽幻速S3 2014款 1.5L 豪华型 国IV', 'https://image1.guazistatic.com/qn170923180157e8546b26e5332ac8a072079567afa0af.jpg', '2016年', '3.00万', '4.80万')
('北汽幻速H2 2015款 1.5L AMT尊贵型BJ415C', 'https://image.guazistatic.com/gz01180606/17/17/f06469b013f7d91b57f49109b8ef874d.jpg', '1.0万公里', '3.80万', '7.50万')
('北汽幻速H2 2016款 H2E 1.5L 时尚型BJ415B', 'https://image.guazistatic.com/gz01180627/21/40/86d9da1bc5d92e9c367f8c9217ef4410.jpg', '2017年', '3.80万', '7.10万')
('北汽幻速S3 2014款 1.5L 豪华型 国IV', 'https://image1.guazistatic.com/qn1701261055102b916cde27720248e3b09f834a002714.jpg', '1.9万公里', '4.38万', '7.30万')
('北汽幻速S3 2014款 1.5L 舒适型 国IV', 'https://image.guazistatic.com/gz01180623/19/00/825121e26827cb34f7af2be4d6512dda.jpg', '2015年', '3.50万', '7.10万')
('北汽幻速S3 2015款 1.5L 舒适型 国V', 'https://image1.guazistatic.com/qn1804152318107c76712f797425ca5a843a70694a4128.jpg', '1.8万公里', '3.80万', '9.60万')
('北汽幻速S3 2014款 1.5L 舒适型 国IV', 'https://image.guazistatic.com/gz01180624/13/41/2d5011a1294af784cc229294618f76fd.jpg', '2015年', '3.40万', '7.30万')
('北汽幻速S6 2016款 1.5T 手动风尚型', 'https://image1.guazistatic.com/qn180710202637428b745abc59c829bad094a8f786c60b.jpg', '6.7万公里', '7.50万', '7.30万')
('北汽幻速H2 2015款 1.5L AMT尊贵型BJ415C', 'https://image.guazistatic.com/gz01180603/17/10/27764707cde776daf2e4e25cb54955cf.jpg', '2016年', '3.50万', '10.70万')
('北汽幻速S3 2015款 1.5L 舒适型 国V', 'https://image.guazistatic.com/gz01180520/12/29/04f952dcb4ca5cbcb8b60e07edbcb616.jpg', '2.0万公里', '4.20万', '7.40万')
