('吉利帝豪GL 2017款 1.8L 手动精英型', 'https://image1.guazistatic.com/qn18041922221032d28a034509ef645961c1e5f905a82e.jpg', '2017年', '7.00万', '9.30万')
('吉利 博瑞 2016款 2.4L 舒适型', 'https://image.guazistatic.com/gz01180621/19/41/15e615fde194cc7a6c2fda8ea8e7566c.jpg', '1.8万公里', '8.00万', '14.10万')
('吉利博瑞 2015款 1.8T 舒适型', 'https://image1.guazistatic.com/qn1805052218377ca23f09c647bb518797cb29c58b1345.jpg', '2016年', '8.30万', '15.20万')
('吉利 博瑞 2015款 礼宾限量版 1.8T 典藏型', 'https://image.guazistatic.com/gz01180610/11/11/5ed0e195a12a5bbe18c49a02db6be2ca.jpg', '4.2万公里', '9.00万', '15.90万')
('吉利 远景 2017款 1.5L 手动幸福版', 'https://image.guazistatic.com/gz01180609/15/52/cbe7f74dab2ba20ee8054a75986fef3f.jpg', '2016年', '4.50万', '6.40万')
('吉利GX7 2013款 2.0L 自动尊贵型', 'https://image.guazistatic.com/gz01180329/13/55/f849de775aaa09cede4a37025656564b.jpg', '2014年', '7.68万', '13.00万')
('吉利 远景SUV 2016款 1.3T CVT豪华型', 'https://image1.guazistatic.com/qn180608153630bf98cb71a5d4ae3c57601f96e1c8c2b2.jpg', '7.0万公里', '7.60万', '10.30万')
('吉利GX7 2015款 经典版 1.8L 手动都市型 国V', 'https://image.guazistatic.com/gz01180521/16/20/7b24d3a69b21c1213508e70c9a4f5028.jpg', '3.7万公里', '5.00万', '8.70万')
('吉利 帝豪GS 2016款 运动版 1.8L 手动领尚型', 'https://image.guazistatic.com/gz01180702/21/43/5dd58230a91ab79c13717cbd50ecdc10.jpg', '2015年', '6.98万', '9.50万')
('吉利GX7 2014款 2.0L 手动进取型', 'https://image1.guazistatic.com/qn1806272110060fbaf35119636ad663fa87ad714615d5.jpg', '2015年', '5.00万', '11.30万')
('吉利 博越 2016款 2.0L 手动智联型', 'https://image1.guazistatic.com/qn180623041410aecba89a3bc8ff5197276bb5c60efbd3.jpg', '4.4万公里', '7.70万', '12.20万')
('吉利 帝豪 2015款 三厢 1.5L 手动向上版', 'https://image1.guazistatic.com/qn18071316453526dd5812a78b28570add93c06f7781b7.jpg', '3.8万公里', '4.50万', '8.70万')
('吉利帝豪GS 2016款 运动版 1.8L 自动领尚型', 'https://image.guazistatic.com/gz01180503/13/28/865135431f18e05195b310ea59fd8a32.jpg', '2017年', '9.38万', '10.60万')
('吉利 远景 2015款 1.5L 手动幸福型', 'https://image1.guazistatic.com/qn180702010846df9a6691a5760eb15d263f5982166742.jpg', '2014年', '4.10万', '6.40万')
('吉利帝豪 2017款 两厢RS百万款 1.5L 手动向上版', 'https://image1.guazistatic.com/qn170728134905b2df8eab5c187c9758060d7932829de7.jpg', '1.8万公里', '5.50万', '8.30万')
('吉利 远景 2016款 1.5L 手动幸福版', 'https://image.guazistatic.com/gz01180705/10/21/6667a7a6b4d7ab41deaf9a44555e1614.jpg', '9.2万公里', '3.72万', '6.40万')
('吉利帝豪 2016款 三厢 1.5L CVT豪华型', 'https://image1.guazistatic.com/qn171013175200acebbc757389deed560e6cd8dc5b6f47.jpg', '2017年', '5.98万', '9.30万')
('吉利 博越 2016款 1.8TD 自动智尊型', 'https://image1.guazistatic.com/qn180713201729ea3afe384fe9387d2911cc2e36bfa1a9.jpg', '2015年', '11.30万', '16.20万')
('吉利 帝豪 2017款 三厢百万款 1.5L CVT豪华型', 'https://image1.guazistatic.com/qn1807040229228c7a126667c2f07aa3b0572ac489f983.jpg', '1.7万公里', '6.90万', '9.30万')
('吉利熊猫 2010款 爱她版 1.5L 自动标准型', 'https://image1.guazistatic.com/qn1711301934317df9270c2e767598f56dc737ca9f545c.jpg', '9.2万公里', '2.00万', '6.10万')
('吉利 帝豪 2016款 三厢 1.5L CVT豪华型', 'https://image1.guazistatic.com/qn180709183550c03db3def4110a31bb18a6ee5e6d1427.jpg', '2017年', '4.90万', '9.30万')
('吉利GX7 2012款 1.8L 手动舒适型', 'https://image1.guazistatic.com/qn180707160243052ee82a23c6442d824b554bd0df5a0b.jpg', '2016年', '3.80万', '10.10万')
('吉利帝豪 2014款 三厢 1.3T CVT尊贵型', 'https://image1.guazistatic.com/qn180323132446418de0c789fc8a7572b1564dce51c6d0.jpg', '2015年', '5.78万', '10.90万')
('吉利帝豪GS 2016款 运动版 1.3T 自动臻尚型', 'https://image.guazistatic.com/gz01180408/15/25/ef30e939efa953d17c23102519501fc2.jpg', '3.2万公里', '9.00万', '11.80万')
('吉利GX7 2015款 运动版 2.0L 自动尊享型', 'https://image1.guazistatic.com/qn1807131408446fbe990951955eba5a230b70a78e2a27.jpg', '4.8万公里', '5.50万', '11.90万')
('吉利 博瑞 2015款 2.4L 舒适型', 'https://image.guazistatic.com/gz01180606/12/32/f7c4e31c6a04623c090daf22bbb486c8.jpg', '9.4万公里', '9.00万', '14.10万')
('吉利GX7 2015款 经典版 1.8L 手动都市型 国V', 'https://image1.guazistatic.com/qn171017205904e80a999e13abe3d478611eea6b640587.jpg', '2017年', '4.00万', '8.70万')
('吉利 博越 2016款 1.8TD 自动智尊型', 'https://image.guazistatic.com/gz01180629/14/35/eeda6af86517449404bbb605c392eddc.jpg', '5.2万公里', '11.00万', '16.20万')
('吉利GX7 2013款 1.8L 手动精英型', 'https://image1.guazistatic.com/qn18051414552794a46c308b2647c5efc32eae08454fd9.jpg', '2015年', '4.60万', '10.50万')
('吉利 帝豪 2016款 三厢 1.5L CVT向上版', 'https://image.guazistatic.com/gz01180623/13/54/084d20692bb75ef905dd8052bb398bc4.jpg', '2018年', '5.50万', '9.90万')
('吉利 帝豪 2016款 三厢 1.5L 手动豪华型', 'https://image.guazistatic.com/gz01180619/17/43/4c2024b0c5641367b3414760486a308d.jpg', '5.7万公里', '5.30万', '8.10万')
('吉利豪情SUV 2016款 2.4L 手动四驱尊贵型', 'https://image1.guazistatic.com/qn171226225301fbdc008ac4b6650a401d2d2d77bae565.jpg', '0.2万公里', '8.00万', '16.60万')
('吉利远景SUV 2016款 1.3T CVT旗舰型', 'https://image.guazistatic.com/gz01180509/10/52/8237c8a6a4a5304bf6818efae53571ad.jpg', '2014年', '8.00万', '11.10万')
('吉利 博瑞 2016款 1.8T 尊雅型', 'https://image.guazistatic.com/gz01180615/20/53/55d088cbfda8b8820e667d3b9f5a2bd2.jpg', '2016年', '11.00万', '15.90万')
('吉利 帝豪GL 2017款 1.3T 手动精英型', 'https://image1.guazistatic.com/qn1807131321558d1658e5f4acf37839e5c3d399d92770.jpg', '2.9万公里', '6.60万', '9.50万')
('吉利博越 2016款 1.8TD 自动智慧型', 'https://image1.guazistatic.com/qn1803151811597221894ce008be811fa698e664477387.jpg', '1.5万公里', '12.80万', '15.20万')
('吉利 帝豪GS 2016款 优雅版 1.3T 自动领尚型', 'https://image1.guazistatic.com/qn180705185321a54fdccc66dd034e720188c3c59f6301.jpg', '2016年', '7.00万', '10.30万')
('吉利 远景SUV 2016款 1.8L 手动豪华型', 'https://image.guazistatic.com/gz01180606/11/08/c02a26cd2bc46052ed137a711edff497.jpg', '2016年', '6.50万', '8.90万')
('吉利 博越 2016款 1.8TD 自动智慧型', 'https://image1.guazistatic.com/qn180616194752600d35419371506e9b041be06234f736.jpg', '0.8万公里', '11.00万', '15.20万')
('吉利 帝豪 2016款 三厢 1.3T CVT向上版', 'https://image.guazistatic.com/gz01180626/18/29/1eb21bb2501671f00e5b5c9dd2e0d2ad.jpg', '3.0万公里', '5.00万', '10.60万')
('吉利 帝豪 2016款 三厢 1.5L 手动豪华型', 'https://image1.guazistatic.com/qn1806302130164022ef6c496bbd05125b7e2fb0d4fb5c.jpg', '2016年', '4.10万', '8.10万')
('吉利 博瑞 2015款 2.4L 舒适型', 'https://image1.guazistatic.com/qn1807051502499fd32c8e4c127e63212ce0e57ee8e0ad.jpg', '2017年', '8.20万', '14.10万')
('吉利博越 2016款 1.8TD 自动智慧型', 'https://image.guazistatic.com/gz01180420/17/44/193c5bf5b5b759eda26c89c64584fb4e.jpg', '4.9万公里', '12.50万', '15.20万')
('吉利 帝豪GS 2016款 运动版 1.3T 自动领尚型', 'https://image.guazistatic.com/gz01180703/15/38/85df17b5774291e21c7a10f91b65e7ff.jpg', '1.6万公里', '7.22万', '10.80万')
('吉利帝豪 2016款 三厢 1.5L 手动豪华型', 'https://image1.guazistatic.com/qn180306054139cb3a4776562956dcdcb091b9523401cf.jpg', '2016年', '5.18万', '8.10万')
('吉利 博越 2016款 1.8TD 自动智尊型', 'https://image.guazistatic.com/gz01180624/14/48/4034d5bb98a6f90b886e280d6e5d287e.jpg', '2016年', '10.38万', '16.20万')
('吉利 博越 2016款 1.8TD 自动智慧型', 'https://image.guazistatic.com/gz01180624/18/53/18299b393ac83ea02c0790418cc3aa70.jpg', '1.6万公里', '12.00万', '15.20万')
('吉利 远景 2015款 1.5L 手动幸福型', 'https://image1.guazistatic.com/qn180709120744beefc920ff69ec4b10dea296cc76bc78.jpg', '2016年', '3.30万', '6.40万')
('吉利 帝豪GS 2016款 优雅版 1.3T 自动臻尚型', 'https://image.guazistatic.com/gz01180628/19/31/196df7478cf87c24b75f66de1311f5b1.jpg', '3.9万公里', '8.00万', '11.50万')
('吉利GX7 2015款 运动版 1.8L 手动新精英型升级版 国V', 'https://image1.guazistatic.com/qn18052016004356576af978227d718f02909bc0bf1dd5.jpg', '4.6万公里', '5.68万', '10.00万')
('吉利 博越 2016款 1.8TD 自动智尊型', 'https://image1.guazistatic.com/qn180706183627952f606c073dad00d79b8d5091c35744.jpg', '2017年', '10.60万', '16.20万')
('吉利帝豪GS 2016款 运动版 1.8L 手动领尚型', 'https://image1.guazistatic.com/qn171226140218571e2275e71c0a0387c47530ea65105e.jpg', '2.7万公里', '7.70万', '9.50万')
('吉利EC8 2013款 2.0L 手动精英型', 'https://image1.guazistatic.com/qn18012612093702d364bd2074147428cc402e33c7e696.jpg', '2017年', '4.20万', '11.90万')
('吉利 博瑞 2015款 1.8T 旗舰型', 'https://image1.guazistatic.com/qn1807080459534ae0a40f3eae96714774d74bf990e7e9.jpg', '2015年', '9.80万', '19.20万')
('吉利GX7 2015款 经典版 1.8L 手动电商专供型 国V', 'https://image.guazistatic.com/gz01180629/10/41/f9a799a9384536814d3c2af6988f6832.jpg', '1.2万公里', '6.00万', '7.60万')
('吉利远景 2015款 1.5L 手动精英型', 'https://image1.guazistatic.com/qn1804231520537a58c3a99ec96f848e6f291a7b94c21f.jpg', '1.2万公里', '4.50万', '6.30万')
('吉利 经典帝豪 2013款 两厢 1.5L 手动进取型', 'https://image1.guazistatic.com/qn180707233925728f55b19fd30a45f41dcaee71a738f1.jpg', '2016年', '3.00万', '7.50万')
('吉利 博越 2016款 2.0L 手动智尚型', 'https://image.guazistatic.com/gz01180628/11/42/2637f567f4a7b16aedaf2c66ab975b6b.jpg', '2017年', '8.20万', '11.80万')
('吉利GX7 2014款 1.8L 手动超值版', 'https://image.guazistatic.com/gz01180410/22/35/1b514b10d60c7b3dca5e8b9bcfbf511c.jpg', '9.3万公里', '4.50万', '8.70万')
('吉利 帝豪 2016款 三厢 1.3T CVT向上版', 'https://image.guazistatic.com/gz01180628/18/59/f2f27ffc5367fc12260d699f4e8bd587.jpg', '0.6万公里', '5.70万', '10.60万')
('吉利GX7 2012款 2.0L 手动舒适型', 'https://image1.guazistatic.com/qn180628182051b8245365c974e3ec5c9b00220e4108ef.jpg', '2016年', '4.98万', '11.20万')
('吉利 帝豪 2016款 三厢 1.5L 手动向上版', 'https://image1.guazistatic.com/qn180706190506f2365cc6b8c52ebf4812a33bda2dbd95.jpg', '2016年', '4.80万', '8.70万')
('吉利博瑞 2015款 1.8T 尊贵型', 'https://image1.guazistatic.com/qn1711241903426be03246ece4af92d5e866913b00ba1a.jpg', '3.0万公里', '11.11万', '17.00万')
('吉利 帝豪 2015款 两厢RS 1.5L 手动向上版', 'https://image.guazistatic.com/gz01180614/19/38/7e53c2d018e015198a38fda3e4476d70.jpg', '3.8万公里', '4.00万', '8.30万')
('吉利 博瑞 2015款 1.8T 尊贵型', 'https://image.guazistatic.com/gz01180618/18/47/88f03dd54d73c66d8eb61445e59b0607.jpg', '2016年', '11.00万', '17.00万')
('吉利 博瑞 2015款 1.8T 舒适型', 'https://image.guazistatic.com/gz01180704/16/22/637a23d8bc8cb5b55c9060849ad6a9eb.jpg', '2016年', '8.95万', '15.20万')
('吉利GX7 2015款 运动版 2.0L 自动豪华型升级版 国V', 'https://image1.guazistatic.com/qn180321103229d396ab5d41de754c3589efc462f65eeb.jpg', '2.2万公里', '7.00万', '11.90万')
('吉利 远景SUV 2016款 1.3T CVT旗舰型', 'https://image.guazistatic.com/gz01180624/20/15/cfbbb0e0207eb48e8e06dd901e343d84.jpg', '2.5万公里', '7.60万', '11.10万')
('吉利经典帝豪 2012款 三厢 1.8L 手动尊贵型', 'https://image1.guazistatic.com/qn1805200148177c0730e6ff079e644eca9bde65e408a4.jpg', '2017年', '4.00万', '10.50万')
('吉利帝豪 2016款 三厢 1.3T CVT尊贵型', 'https://image.guazistatic.com/gz01180501/11/08/586360b30e64fd41739c4a947fdd21db.jpg', '2016年', '8.00万', '10.90万')
('吉利GX7 2014款 1.8L 手动超值版', 'https://image.guazistatic.com/gz01180616/15/18/9d256c6973a4f77dba43beb049311eae.jpg', '1.0万公里', '3.22万', '8.70万')
('吉利 博瑞 2015款 1.8T 舒适型', 'https://image1.guazistatic.com/qn180608164615b25dc616e8374f9453f22f1ab208a352.jpg', '3.3万公里', '9.50万', '15.20万')
('吉利远景 2015款 1.5L 手动幸福型', 'https://image1.guazistatic.com/qn180507200031380d32ba3327774117cd0874f6c6ad4c.jpg', '2015年', '4.10万', '6.40万')
('吉利 帝豪 2014款 三厢 1.5L CVT精英型', 'https://image1.guazistatic.com/qn1807062121202f3fccd56f2e6e5674552072ccbeed3d.jpg', '2018年', '5.00万', '9.50万')
('吉利远景 2010款 1.5L 白金版', 'https://image1.guazistatic.com/qn180609093317eeee8cafbd826d3f6c279a09b972d0f3.jpg', '2.5万公里', '1.60万', '5.80万')
('吉利GX7 2015款 运动版 2.0L 自动豪华型升级版 国V', 'https://image.guazistatic.com/gz01180423/15/35/ac2a250d4ffa0b6432c68992a34e87bc.jpg', '0.3万公里', '5.80万', '11.90万')
('吉利 远景 2011款 1.5L 标准型', 'https://image.guazistatic.com/gz01180624/10/06/4298bd3033fa044c9bb32d4e41256ca2.jpg', '2016年', '1.50万', '6.20万')
('吉利 博越 2016款 1.8TD 自动智尊型', 'https://image.guazistatic.com/gz01180701/10/01/7da63984139b10b8f55648f3a2777fb6.jpg', '6.2万公里', '11.00万', '16.20万')
('吉利GX7 2014款 1.8L 手动超值版', 'https://image1.guazistatic.com/qn180116124725141ca8d0cca49fe645beb8005b2ac1bc.jpg', '2013年', '4.00万', '8.70万')
('吉利SX7 2013款 1.8L 手动尊贵型', 'https://image.guazistatic.com/gz01180408/16/46/98329e4bb42486663121bdf816533d36.jpg', '2.5万公里', '4.20万', '11.50万')
('吉利博瑞 2015款 1.8T 尊贵型', 'https://image1.guazistatic.com/qn180311104609fa95a44bf84f842d6802a02195cd1eb4.jpg', '2015年', '10.30万', '17.00万')
('吉利 博瑞 2016款 2.4L 舒适型', 'https://image1.guazistatic.com/qn1807121727190f80edae330ad795b077fd2402c24d34.jpg', '5.1万公里', '9.00万', '14.10万')
('吉利EC8 2011款 2.0L 自动舒适版', 'https://image1.guazistatic.com/qn180528115329aa397d571603d93fd715d46ccfaa6ea8.jpg', '2013年', '3.55万', '13.20万')
('吉利GX7 2014款 1.8L 手动超值版', 'https://image.guazistatic.com/gz01180510/12/46/f442e5cc312d5802d93b4987a14ce53a.jpg', '7.8万公里', '4.20万', '8.70万')
('吉利GX7 2013款 1.8L 手动进取型', 'https://image.guazistatic.com/gz01180621/10/37/951e5c146d872b26878eaa3b9fd208c3.jpg', '2014年', '3.80万', '10.10万')
('吉利 经典帝豪 2013款 三厢 1.5L 手动精英型', 'https://image.guazistatic.com/gz01180607/20/39/de14aa268588a2a2c272e4c7818ce92b.jpg', '7.0万公里', '3.30万', '8.70万')
