('°ÂµÏA6L 2016¿î TFSI ¼¼ÊõĞÍ', 'https://image1.guazistatic.com/qn180303031343872769cba23a951de4c88b04e036c4d7.jpg', '2016Äê', '33.00Íò', '45.10Íò')
('°ÂµÏQ5 2010¿î 2.0TFSI ½øÈ¡ĞÍ', 'https://image1.guazistatic.com/qn1801152202448399d0eced40b6d02bbbf9ecaf07d1dc.jpg', '2.4Íò¹«Àï', '18.00Íò', '41.20Íò')
('°ÂµÏA4L 2013¿î 35 TFSI ×Ô¶¯±ê×¼ĞÍ', 'https://image1.guazistatic.com/qn180324163919b3d107f7abdeedf8aa29aa0063c50d70.jpg', '2010Äê', '17.98Íò', '33.60Íò')
('°ÂµÏA6L 2012¿î 30 FSI ºÀ»ªĞÍ', 'https://image1.guazistatic.com/qn180519151204b602170f627b10b1605912f6d84591e5.jpg', '2013Äê', '26.00Íò', '55.00Íò')
('°ÂµÏA8L 2014¿î A8L 50 TFSI quattro×ğ¹óĞÍ(½ø¿Ú)', 'https://image1.guazistatic.com/qn180326162756f410b6e1b80d242f450ad44d3dd88e9e.jpg', '15.3Íò¹«Àï', '60.00Íò', '150.00Íò')
('°ÂµÏA4L 2015¿î 35 TFSI ×Ô¶¯ºÀ»ªĞÍ', 'https://image.guazistatic.com/gz01180521/16/26/74a3536f1a011a5819f8fd4201e0170e.jpg', '5.7Íò¹«Àï', '19.20Íò', '43.60Íò')
('°ÂµÏA4L 2009¿î 2.0 TFSI ÊæÊÊĞÍ', 'https://image1.guazistatic.com/qn18011813270706c75abffb12c7337dc604ce9262fb51.jpg', '2013Äê', '17.00Íò', '35.80Íò')
('°ÂµÏA6L 2016¿î TFSI ÔË¶¯ĞÍ', 'https://image1.guazistatic.com/qn180309150852815cc3a8b752b5c72a4ab467737505f0.jpg', '2014Äê', '31.50Íò', '50.10Íò')
('°ÂµÏA4L 2013¿î 35 TFSI ×Ô¶¯±ê×¼ĞÍ', 'https://image.guazistatic.com/gz01180510/15/57/56a8784b6ad6551f163b81136de5e80f.jpg', '2014Äê', '19.80Íò', '33.60Íò')
('°ÂµÏA6L 2012¿î 30 FSI ºÀ»ªĞÍ', 'https://image.guazistatic.com/gz01180429/18/14/bbb435d95826cc33e274856acf32c158.jpg', '2.9Íò¹«Àï', '27.87Íò', '55.00Íò')
('°ÂµÏQ5 2017¿î 40 TFSI ÊæÊÊĞÍ', 'https://image1.guazistatic.com/qn1804080139465f771a28126c729aee8c262e9478cf18.jpg', '5.7Íò¹«Àï', '36.50Íò', '51.00Íò')
