('比亚迪 2017款 1.5T 秦100', 'https://image1.guazistatic.com/qn180707150714c32a5f72905d31e58e868a72039de528.jpg', '2017年', '13.00万', '22.80万')
('比亚迪F0 2012款 1.0L 铉酷型', 'https://image1.guazistatic.com/qn180609173524c590ccf9ca192fdfcde896ada4fb7f07.jpg', '7.3万公里', '1.33万', '4.00万')
('比亚迪G5 2014款 1.5TID 自动尊贵型', 'https://image1.guazistatic.com/qn180323152717b92a385f9d4db8771c418a30f8f019af.jpg', '2014年', '4.80万', '10.20万')
('比亚迪F3 2012款 节能版 1.5L 手动舒适型', 'https://image.guazistatic.com/gz01180621/17/15/2e909561ad4e75bf0ff0a5b72df1bc49.jpg', '1.5万公里', '1.80万', '4.80万')
('比亚迪M6 2015款 2.4L 自动尊贵版', 'https://image.guazistatic.com/gz01180409/14/02/a5f01e41532f4a17f9940c52362948ba.jpg', '2016年', '11.00万', '15.80万')
('比亚迪S7 2015款 1.5T 升级版 手动尊贵型', 'https://image1.guazistatic.com/qn1802260303071e94ac6124c1bb50a8e6f8d871837454.jpg', '2015年', '8.00万', '12.70万')
('比亚迪F0 2010款 尚酷爱国版 1.0L 悦酷型', 'https://image1.guazistatic.com/qn1806252317256bfe07f53099d8fcb210541da0e415aa.jpg', '3.4万公里', '0.90万', '4.40万')
('比亚迪 唐 2015款 2.0T 四驱旗舰型', 'https://image.guazistatic.com/gz01180620/12/43/5e729418dbca992f5db29ab00b98a35d.jpg', '7.6万公里', '16.50万', '30.40万')
('比亚迪 宋新能源 2017款 宋DM 1.5TID 全时四驱尊贵型', 'https://image.guazistatic.com/gz01180530/15/11/5ef388e722ded60926cce83b44adc3f6.jpg', '2010年', '17.50万', '25.20万')
('比亚迪S6 2013款 白金版 2.0L 手动精英型', 'https://image1.guazistatic.com/qn1801151015023e9655c7178d6b807a52245d786fd022.jpg', '2012年', '3.60万', '9.80万')
('比亚迪 宋MAX 2017款 1.5T 自动智联精英型 7座', 'https://image1.guazistatic.com/qn1807111939221f35de9b35a97c03d278e6bbc7e75b86.jpg', '5.5万公里', '11.00万', '11.90万')
('比亚迪S6 2011款 2.0L 手动尊贵型', 'https://image1.guazistatic.com/qn170303135701550a26255cf0f10f6cdffd82e34f74e0.jpg', '9.1万公里', '3.60万', '11.70万')
('比亚迪S7 2015款 1.5T 升级版 手动尊贵型', 'https://image1.guazistatic.com/qn1712180044317e503c3c65c54043458eb2e242b2eaca.jpg', '2018年', '6.58万', '12.70万')
('比亚迪唐 2015款 2.0T 四驱旗舰型', 'https://image1.guazistatic.com/qn1803221759187b1e57a701f42449b55451fb8d563e10.jpg', '2016年', '16.60万', '30.40万')
('比亚迪e5 2016款 300 豪华型', 'https://image1.guazistatic.com/qn1803090252540a2d2c66bf25f51480c784c31f835ad0.jpg', '0.8万公里', '10.50万', '26.00万')
('比亚迪 唐 2015款 2.0T 四驱旗舰型', 'https://image.guazistatic.com/gz01180629/10/47/46960a1b2ee857266baeb296526529cd.jpg', '2.4万公里', '16.88万', '30.40万')
('比亚迪唐 2015款 2.0T 四驱旗舰型', 'https://image1.guazistatic.com/qn180117135915a60c1364c1b079fb4aa3d67d3bdd0478.jpg', '2018年', '13.00万', '30.40万')
('比亚迪唐 2015款 2.0T 四驱旗舰型', 'https://image1.guazistatic.com/qn1806141944264fb527f65773b697fc8d3dc1881c78b4.jpg', '2016年', '15.60万', '30.40万')
('比亚迪唐 2015款 2.0T 四驱旗舰型', 'https://image1.guazistatic.com/qn180319182333fabe29ff12cb58822531b559b3d15f40.jpg', '0.7万公里', '15.50万', '30.40万')
('比亚迪M6 2013款 2.0L 手动舒适型', 'https://image1.guazistatic.com/qn170930142508ff16b0ae0747171b3ef465f38ab4fe7d.jpg', '4.5万公里', '5.00万', '11.30万')
('比亚迪 宋 2016款 盖世版 1.5TI 手动4G尊贵型', 'https://image.guazistatic.com/gz01180615/13/29/ad1d75d8e7829982f5c9237958043a96.jpg', '2015年', '7.10万', '11.90万')
('比亚迪 宋 2016款 盖世版 1.5TID 自动豪雅型', 'https://image1.guazistatic.com/qn180706192841a72d882e18eecb12939992cd1fd779b1.jpg', '2013年', '7.90万', '12.70万')
('比亚迪 速锐 2016款 1.5L 手动精英型', 'https://image1.guazistatic.com/qn180702144305faced94a7d877eb3c0b9ceaddc38d726.jpg', '3.8万公里', '4.00万', '7.60万')
('比亚迪S7 2017款 2.0T 自动尊贵型', 'https://image1.guazistatic.com/qn180708221055980ec18eae381df05b1c2beb202b03b7.jpg', '11.1万公里', '9.00万', '14.10万')
('比亚迪速锐 2014款 1.5TI 手动豪华型', 'https://image1.guazistatic.com/qn180706125347753086128171ae23c51e826014cde952.jpg', '2016年', '2.90万', '9.00万')
('比亚迪F3 2013款 节能版 1.5L 手动舒适型', 'https://image1.guazistatic.com/qn180517192701d5bb9307d7aec0bddd6f54635635706a.jpg', '2011年', '2.15万', '5.00万')
('比亚迪 秦 2017款 1.5T 尊贵型', 'https://image.guazistatic.com/gz01180630/10/36/818c4da7f7043fb4c608014f308de782.jpg', '6.3万公里', '12.00万', '20.20万')
('比亚迪 速锐 2015款 改款 1.5L 手动豪华型', 'https://image1.guazistatic.com/qn180627213553c392c2aa1c89b08eb7c8b05a5fffdae9.jpg', '12.7万公里', '4.00万', '8.30万')
('比亚迪 秦 2015款 1.5T 双冠旗舰Plus版', 'https://image1.guazistatic.com/qn180526063806183750ef3172155112b592850269b264.jpg', '2015年', '10.68万', '23.90万')
('比亚迪S7 2016款 2.0T 自动尊贵型', 'https://image1.guazistatic.com/qn180626164438a9cd81537412c995569e1d6d298c9fc8.jpg', '2015年', '8.00万', '14.10万')
('比亚迪G5 2014款 1.5TI 手动尊贵型', 'https://image.guazistatic.com/gz01180522/17/16/412f057d874a35ef8a6d2673928fcc30.jpg', '10.3万公里', '4.28万', '9.30万')
('比亚迪S7 2015款 2.0T 自动尊贵型', 'https://image.guazistatic.com/gz01180330/19/30/1a760ee12198f90dc34de24e7445cc94.jpg', '2.3万公里', '7.00万', '14.10万')
('比亚迪 速锐 2015款 1.5L 自动豪华型', 'https://image.guazistatic.com/gz01180628/18/01/0f03e4eb302619ea412dec2875e8a720.jpg', '2015年', '5.00万', '9.40万')
('比亚迪S6 2013款 劲悦版 2.0L 手动豪华型 5座', 'https://image.guazistatic.com/gz01180521/20/31/c2e934e7eada7d41321cf40ff1fdf207.jpg', '2017年', '3.80万', '8.70万')
('比亚迪S6 2011款 2.4L 自动尊享型', 'https://image1.guazistatic.com/qn170920181715ad4dee2965b7b0c89d5e9a70f101a11b.jpg', '2016年', '5.00万', '14.20万')
('比亚迪 速锐 2012款 1.5TID 自动旗舰型', 'https://image.guazistatic.com/gz01180619/13/57/2b0dc21347fda593e5c76336abc32935.jpg', '4.6万公里', '5.00万', '10.80万')
('比亚迪S7 2015款 2.0T 升级版 自动尊贵型', 'https://image1.guazistatic.com/qn17091011444555fd981bd4d632cfe00c30f6eb3a352a.jpg', '2.3万公里', '9.80万', '14.10万')
('比亚迪S7 2016款 2.0T 自动旗舰型Plus', 'https://image.guazistatic.com/gz01180629/13/50/d153a8ffc69b443b52dd5d8f56465a0f.jpg', '6.0万公里', '8.30万', '15.90万')
('比亚迪M6 2010款 2.4L 自动尊享型', 'https://image.guazistatic.com/gz01180407/15/11/7a9fdb8038e6066494d9430e83be951d.jpg', '2016年', '4.50万', '19.40万')
('比亚迪F0 2012款 1.0L 悦酷型', 'https://image.guazistatic.com/gz01180617/10/47/c7e69be51f9399ecae3f128f6c0bde24.jpg', '2013年', '1.35万', '4.40万')
('比亚迪 宋 2016款 盖世版 1.5TID 自动精英型', 'https://image.guazistatic.com/gz01180628/14/48/17f07fc22ab6ec1434c87ce4f8d8965a.jpg', '2015年', '7.50万', '11.60万')
('比亚迪 秦 2014款 1.5T 旗舰型', 'https://image.guazistatic.com/gz01180702/17/16/3d1ef8a6a5949b9f99a1239ce12c7b57.jpg', '2.7万公里', '9.30万', '22.80万')
('比亚迪G5 2014款 1.5TID 自动尊贵型', 'https://image1.guazistatic.com/qn180615223429eac4e444d9f3907f6a2bd62c497bbdec.jpg', '6.5万公里', '5.90万', '10.20万')
('比亚迪F3 2015款 节能版 1.5L 手动舒适型', 'https://image.guazistatic.com/gz01180621/09/50/d0cd7c6a9b311463e6c05e88be02b212.jpg', '6.7万公里', '2.99万', '5.60万')
('比亚迪F3 2015款 节能版 1.5L 手动舒适型', 'https://image.guazistatic.com/gz01180623/17/43/26a34dbeaefc568cb368af1673e0f18d.jpg', '2017年', '3.50万', '5.60万')
('比亚迪M6 2010款 2.0L 手动豪华型', 'https://image1.guazistatic.com/qn180711130519d2bb284c2b29c809f29b16345186b246.jpg', '2014年', '3.80万', '16.40万')
('比亚迪S6 2013款 劲悦版 2.4L 自动精英型 5座', 'https://image.guazistatic.com/gz01180528/11/55/4aab85be8d7d94dbac98e1808c487693.jpg', '5.4万公里', '4.10万', '11.90万')
('比亚迪S7 2015款 2.0T 升级版 自动尊贵型', 'https://image1.guazistatic.com/qn18071122093975e6e9107a1e0f282140753275aa3ad2.jpg', '2013年', '8.60万', '14.10万')
('比亚迪秦 2015款 1.5T 双冠旗舰Plus版', 'https://image1.guazistatic.com/qn180316132140fa104234d5bcd4cff10d6ce08d54c5d9.jpg', '4.9万公里', '10.50万', '23.90万')
