('玛莎拉蒂总裁 2008款 4.7L 行政版', 'https://image1.guazistatic.com/qn17110918450669d8ab897802f3cd7714ba4dc3892890.jpg', '2010年', '88.98万', '269.00万')
('玛莎拉蒂Ghibli 2017款 3.0T 标准版', 'https://image1.guazistatic.com/qn18070712573430a751fd62576d1f79e7cbe87fedac86.jpg', '8.1万公里', '85.00万', '105.30万')
('玛莎拉蒂总裁 2013款 3.0T 标准型', 'https://image1.guazistatic.com/qn180317133013d98d7cbc3a9e7cf2abf5be694e743fcb.jpg', '2017年', '82.00万', '154.30万')
('玛莎拉蒂总裁 2015款 3.0T 标准型', 'https://image1.guazistatic.com/qn1805072215084121e9414178fd283ca5e78a1e6758a3.jpg', '2.0万公里', '80.00万', '154.30万')
('玛莎拉蒂Levante 2016款 3.0T Levante', 'https://image1.guazistatic.com/qn18042401454269fdd439f2661dacc96de78a05f558ad.jpg', '2015年', '90.00万', '107.00万')
('玛莎拉蒂总裁 2014款 总裁2014款3.0T美规版', 'https://image1.guazistatic.com/qn1801181529098a3243af6ffc8286cb37df4022433943.jpg', '4.5万公里', '120.00万', '107.00万')
('玛莎拉蒂Levante 2016款 3.0T Levante', 'https://image1.guazistatic.com/qn180319171616a6fc9b98dda05f1c708ae89afde96a2b.jpg', '2015年', '89.90万', '126.00万')
('玛莎拉蒂Levante 2018款 3.0T 350Hp 运动版', 'https://image.guazistatic.com/gz01180629/09/47/e80d613f5a780886a8408bf2f8a8c596.jpg', '4.8万公里', '90.00万', '206.00万')
('玛莎拉蒂 总裁 2015款 改款 3.0T 四驱型', 'https://image.guazistatic.com/gz01180627/17/24/834592e1038a69fc07db18e919a8e9ce.jpg', '2017年', '92.00万', '154.30万')
('玛莎拉蒂 总裁 2013款 3.0T 标准型', 'https://image1.guazistatic.com/qn180706184704a9912eed7db4e9f7349e06a1f3a5e39c.jpg', '3.4万公里', '68.88万', '105.30万')
('玛莎拉蒂Ghibli 2017款 3.0T 标准版', 'https://image1.guazistatic.com/qn1801241437578d54c41112e823cc6616bb8392cf3b13.jpg', '2016年', '73.00万', '105.30万')
('玛莎拉蒂Ghibli 2017款 3.0T 标准版', 'https://image1.guazistatic.com/qn171229224511e404c0b6d4a584acfdbfe3d1e931105e.jpg', '1.9万公里', '84.00万', '107.00万')
