('长安商用睿行 2017款 1.5L舒适型6座背掀门DAM15DL', 'https://image1.guazistatic.com/qn180619013807af8c4667da66f4774825a6af726b8c29.jpg', '2017年', '5.49万', '7.00万')
('长安商用 欧尚 2016款 1.5L 手动豪华型7座', 'https://image1.guazistatic.com/qn180521171827e432690deb9ddcf95fbcdcccb223bcf2.jpg', '1.3万公里', '4.60万', '7.00万')
('长安商用 睿行 2017款 1.5L舒适型6座背掀门DAM15DL', 'https://image.guazistatic.com/gz01180610/14/21/0d4229e2ae73cf2d20077ccbb2ec3657.jpg', '2016年', '6.38万', '7.00万')
('长安商用 睿行S50 2017款 S50V 1.5L 手动物流版Ⅱ', 'https://image1.guazistatic.com/qn1807062139574e9c768c3bf89656b2d17a7f3a2f179b.jpg', '1.2万公里', '5.00万', '5.40万')
('长安商用 欧诺 2014款 1.5L基本型', 'https://image.guazistatic.com/gz01180617/12/11/cf9d55e6ba88cb3bd729f7c7dd071820.jpg', '2018年', '3.10万', '4.20万')
('长安商用睿行 2014款 1.5L舒适型4G15S', 'https://image1.guazistatic.com/qn180507161309ce2999d6f3dd41ebddcfa9602298fc40.jpg', '0.5万公里', '3.50万', '7.00万')
('长安商用 长安CX70 2016款 1.6L 手动智能型', 'https://image.guazistatic.com/gz01180622/19/19/cd11587aa914cd07c7647f4898cbf8fe.jpg', '2018年', '5.10万', '8.30万')
('长安商用欧尚 2016款 1.5L 手动豪华型7座', 'https://image1.guazistatic.com/qn1710290949279fb055d8b2e0d2b624dff797a9fa552f.jpg', '0.3万公里', '5.00万', '7.00万')
('长安商用欧力威 2015款 X6 1.4L 手动珠峰版', 'https://image1.guazistatic.com/qn17072612395305018de337c571e4b7f858b3c8cf5796.jpg', '2017年', '3.90万', '6.40万')
('长安商用睿行M80 2014款 1.5L舒适型4G15S', 'https://image1.guazistatic.com/qn180609221124b8bd8ecc43d14d460e1ae1809c81f0a9.jpg', '0.9万公里', '3.80万', '5.20万')
('长安商用欧诺 2015款 1.5L CNG', 'https://image1.guazistatic.com/qn1702161629362d0bd04cd9346dfbb6f46420a25e26ce.jpg', '2015年', '3.50万', '6.70万')
('长安商用 睿行 2017款 1.5L舒适型背掀门DAM15DL', 'https://image1.guazistatic.com/qn18070719313856fccf3900603c0e79ba19014f9c533e.jpg', '8.7万公里', '5.50万', '5.40万')
