('雪佛兰 迈锐宝 2013款 2.0L 自动豪华版', 'https://image1.guazistatic.com/qn1807111850339a12512f5bbb6fc9ec1bc02f30640aaf.jpg', '2013年', '9.00万', '19.70万')
('雪佛兰 迈锐宝 2014款 2.0L 自动豪华版', 'https://image1.guazistatic.com/qn18062322135693e90f71875878a1c02ec6d85a1b7d14.jpg', '9.4万公里', '11.00万', '20.30万')
('雪佛兰 科鲁兹 2013款 1.8L SE AT', 'https://image.guazistatic.com/gz01180527/15/32/22eef98144b6fcea2f328b36da89b1ff.jpg', '2016年', '6.11万', '14.90万')
('雪佛兰迈锐宝 2016款 1.5T 双离合锐尚版', 'https://image1.guazistatic.com/qn17012607165550a8461cf0731420fda01a79e6586ae8.jpg', '2016年', '15.00万', '22.80万')
('雪佛兰赛欧 2013款 两厢 1.4L 手动优逸版', 'https://image.guazistatic.com/gz01180401/16/51/6b5cee7278b704837a7eeb1048dddb1b.jpg', '2013年', '2.36万', '7.50万')
('雪佛兰 赛欧 2010款 三厢 1.4L 手动优逸版', 'https://image1.guazistatic.com/qn1807081024095ee62b7a3204f45ebb9669e32c3ec447.jpg', '3.6万公里', '2.00万', '7.50万')
('雪佛兰科帕奇 2014款 2.4L 两驱城市版 7座', 'https://image1.guazistatic.com/qn170824141904880749ef4a69dad64208209e935e6039.jpg', '1.4万公里', '11.50万', '20.30万')
('雪佛兰科帕奇 2015款 2.4L 四驱旗舰版 7座', 'https://image1.guazistatic.com/qn171114113318e921c041bcfd24412ce5ad45482bbd73.jpg', '2011年', '12.20万', '22.80万')
('雪佛兰科鲁兹 2015款 1.5L 自动豪华版', 'https://image.guazistatic.com/gz01180422/15/35/8752f1f019da0e301e46d9a2140d4522.jpg', '2014年', '8.50万', '15.00万')
('雪佛兰 迈锐宝 2013款 2.4L 自动旗舰版', 'https://image.guazistatic.com/gz01180529/13/56/3f4c13ef256b68799c62404ccd0f375e.jpg', '10.4万公里', '10.49万', '25.30万')
('雪佛兰 科鲁兹 2015款 1.5L 自动豪华版', 'https://image1.guazistatic.com/qn180708170150b82a627d9118403d94e45727d4fe9125.jpg', '3.6万公里', '7.48万', '15.00万')
