('马自达6 2007款 2.0L 自动超豪华型', 'https://image.guazistatic.com/gz01180520/10/54/14cf4ca2bfda9be8ef6a9e0f166ca03f.jpg', '2009年', '5.20万', '21.70万')
('马自达昂克赛拉 2014款 三厢 2.0L 自动运动型', 'https://image.guazistatic.com/gz01180521/18/52/52a8c48c36bc18a5e4fa3febfc9f7c63.jpg', '6.8万公里', '10.00万', '16.60万')
('马自达6 2012款 2.0L 自动时尚型', 'https://image.guazistatic.com/gz01180605/19/19/cd95658fb8dab0eade5d592c50c3dc0b.jpg', '2014年', '7.50万', '19.50万')
('马自达 昂克赛拉 2014款 三厢 1.5L 自动豪华型', 'https://image1.guazistatic.com/qn1807021458575eead7ec35a825f7905adb9c1170c18a.jpg', '9.9万公里', '9.90万', '15.10万')
('马自达 阿特兹 2017款 2.5L 蓝天运动版', 'https://image.guazistatic.com/gz01180528/12/42/0fdf6245ec92773a87f1426bbc5d08b5.jpg', '2016年', '17.20万', '21.70万')
('马自达 昂克赛拉 2014款 三厢 2.0L 自动旗舰型', 'https://image1.guazistatic.com/qn180607062414e084fab4feea7500116d929eb31c61bc.jpg', '2013年', '11.00万', '17.40万')
('马自达阿特兹 2017款 2.0L 蓝天时尚版', 'https://image.guazistatic.com/gz01180417/22/04/e90b5c267380c656e0e2fd2ade3e51a1.jpg', '3.5万公里', '13.88万', '19.10万')
('马自达CX-5 2013款 2.0L 自动四驱精英型', 'https://image1.guazistatic.com/qn1807101929238767624a963a04bb58f169488585718d.jpg', '4.9万公里', '12.40万', '22.60万')
('马自达CX-5 2017款 2.0L 自动两驱智尚型', 'https://image.guazistatic.com/gz01180625/18/05/5b11de70c1a93c32d32af1078f7eeaa8.jpg', '2017年', '17.00万', '20.60万')
('马自达6 2011款 2.0L 自动时尚型', 'https://image1.guazistatic.com/qn171222120537efe154612587c64ae0279e41b690863e.jpg', '2015年', '6.00万', '19.50万')
('马自达CX-4 2016款 2.5L 自动四驱蓝天无畏版', 'https://image1.guazistatic.com/qn17112915444485aeec4c7dcbae7294fcb645a4e1291f.jpg', '3.8万公里', '17.18万', '23.40万')
